"ResponseId","targetID","ownRating","age","gender","issue","issue_pos","StartDate","EndDate","political","policing_att","assault_att","target","otherRating"
"R_11YEBMQjltf04ju","R_3hnpfMoUDgozoKA",4.61111111111111,28,1,"sa",2,"2019-05-09 09:45:03","2019-05-09 09:54:03",6,6,2,1,5.36111111111111
"R_11YEBMQjltf04ju","R_yUvq8a2DFNxXJIJ",2.88888888888889,28,1,"sa",2,"2019-05-09 09:45:03","2019-05-09 09:54:03",6,6,2,2,2.88888888888889
"R_124iwzbjfXP0WTX","R_1IE6q91Ct8Wx0mE",5.55555555555556,37,2,"blm",2,"2019-05-09 08:12:31","2019-05-09 08:24:28",3,2,5,1,3.75925925925926
"R_124iwzbjfXP0WTX","R_3PB2UADza0SMfU2",3.88888888888889,37,2,"blm",2,"2019-05-09 08:12:31","2019-05-09 08:24:28",3,2,5,2,4.83333333333333
"R_12DovjOZFSEJ68j","R_24xafjvY6Bx7rSZ",6.5,NA,NA,"blm",2,"2019-05-09 08:33:41","2019-05-09 08:40:55",NA,2,3,1,4.58333333333333
"R_12DovjOZFSEJ68j","R_2wufE0htHQKWbzf",5.77777777777778,NA,NA,"blm",2,"2019-05-09 08:33:41","2019-05-09 08:40:55",NA,2,3,2,4.90740740740741
"R_12EHGac8MtcvTSP","R_2q9jwcGSh42mCr2",4.55555555555556,45,1,"sa",1,"2019-05-10 15:44:57","2019-05-10 15:53:45",2,1,1,1,4.44444444444444
"R_12EHGac8MtcvTSP","R_32WaK8ceq3irwM5",5.05555555555556,45,1,"sa",1,"2019-05-10 15:44:57","2019-05-10 15:53:45",2,1,1,2,6.66666666666667
"R_12f3M8NUVG72ze4","R_1gbYCKjSlqpUO8m",3.38888888888889,43,2,"blm",2,"2019-05-09 08:09:40","2019-05-09 08:35:04",4,2,1,1,4.24444444444444
"R_12f3M8NUVG72ze4","R_22s4wjOt4ZnhZmq",4.77777777777778,43,2,"blm",2,"2019-05-09 08:09:40","2019-05-09 08:35:04",4,2,1,2,4.38888888888889
"R_12G5z1ulobrcUGy","R_3jeXPFKfWHQyS06",2.88888888888889,21,1,"blm",2,"2019-05-09 08:37:52","2019-05-09 08:42:27",2,2,6,1,4.78703703703704
"R_12G5z1ulobrcUGy","R_wRSLwXSq1oKPcf7",5.44444444444444,21,1,"blm",2,"2019-05-09 08:37:52","2019-05-09 08:42:27",2,2,6,2,4.98484848484848
"R_12gr1k6FExgwZsv","R_1DVdDnQr9Bqq0yE",2.27777777777778,29,2,"blm",5,"2019-05-09 09:38:46","2019-05-09 09:50:55",4,5,4,1,4.31481481481481
"R_12gr1k6FExgwZsv","R_3lGHKjqeeq82tnq",4.22222222222222,29,2,"blm",5,"2019-05-09 09:38:46","2019-05-09 09:50:55",4,5,4,2,5.55555555555556
"R_12omSxzWGkYlZuB","R_1CKMAd873fBno58",5.44444444444444,54,2,"sa",5,"2019-05-09 08:13:33","2019-05-09 08:27:47",2,1,5,1,5.25
"R_12omSxzWGkYlZuB","R_2fjiRegEzVSgvNv",5.38888888888889,54,2,"sa",5,"2019-05-09 08:13:33","2019-05-09 08:27:47",2,1,5,2,5.31481481481481
"R_12PDr3HcBH7cWsM","R_2aPPvl4HiNqEKp3",4.77777777777778,34,1,"blm",5,"2019-05-09 08:02:46","2019-05-09 08:09:41",2,5,1,1,4.2962962962963
"R_12PDr3HcBH7cWsM","R_3JKQQLQT3iM8umX",3.88888888888889,34,1,"blm",5,"2019-05-09 08:02:46","2019-05-09 08:09:41",2,5,1,2,3.24074074074074
